supplier_name_original,abn,acn,company_name,match_method
PRICEWATERHOUSECOOPERS,,,,
AMBERLEY-ROSEWOOD BUS CO ACN 009668151,,009668151,,extracted_from_name
MOUNT ISA WATER BOARD,,,,
BHP BILLITON ABN 49004028077,49004028077,,,extracted_from_name
GLENCORE MOUNT ISA MINES,,,,
KALKADOON ENTERPRISES PTY LTD ACN 123456789,,123456789,,extracted_from_name
WOOLWORTHS GROUP LIMITED ABN 88000014675,88000014675,,,extracted_from_name
TELSTRA CORPORATION LIMITED ABN 33051775556,33051775556,,,extracted_from_name
QANTAS AIRWAYS LIMITED ABN 16009661901,16009661901,,,extracted_from_name
MOUNT ISA HIRE & SALES,,,,
RIO TINTO ALCAN ABN 61004618426,61004618426,,,extracted_from_name
NORTHWEST REGIONAL COUNCIL,,,,
CARPENTARIA SHIRE COUNCIL,,,,
TOWNSVILLE ENTERPRISE LIMITED ACN 060998869,,060998869,,extracted_from_name
JAMES COOK UNIVERSITY ABN 46253211955,46253211955,,,extracted_from_name
INDIGENOUS BUSINESS AUSTRALIA ABN 92091551188,92091551188,,,extracted_from_name
MOUNT ISA ABORIGINAL CORPORATION,,,,
CLONCURRY SHIRE COUNCIL,,,,
NORTH WEST STAR PTY LTD,,,,
MOUNT ISA TAXIS,,,,
XSTRATA COPPER,,,,
ERGON ENERGY ABN 50087646062,50087646062,,,extracted_from_name
AURIZON HOLDINGS LIMITED ABN 14146335622,14146335622,,,extracted_from_name
MOUNT ISA COMMUNITY ENTERPRISES,,,,
NORTHWEST SAFETY SOLUTIONS PTY LTD ACN 098765432,,098765432,,extracted_from_name
