supplier_name_original,abn,acn,match_method
"Performance Potential,",,,
QNEEYAA Family Trust T,,,
Resonance Design and Architecture Pty Ltd,,,
HG Leadership Pty Ltdtrading as HardyGroup,,,
Rilec Electrical Pty Ltd,,,
Sentify (formerly IntegrationQA),,,
Institute of Managers and Leaders (IML National),,,
Contact: Maritsa Pavone,,,
Grant Thornton Australia Ltd,,,
email: lee.hamilton@global.ntt,,,
myP3 Pty Ltd,,,
a Ampion),,,
Codify Pty Ltd,,,
Elabor8,,,
King & Wood Mallesons,,,
Ampol Australia Petroleum Pty Ltd,,,
Venant Solutions Pty Ltd,,,
a Taleb Medical,,,
"Grevillea Consultants,",,,
Penumbra Neuro Aust P,,,
Deloitte Consulting Pty Ltd,,,
Eniax Pty Ltd T,,,
SoftEd,,,
www.rnlconstructions.com.au,,,
Living Trails,,,
Aurora Technologies Pty Ltd,,,
Cherie Twitchin (Office Administration),,,
"Evergreen Electrical Services Pty Ltd, ABN: 22 166 668 300, 6",22166668300.0,,extracted_from_name
Telephone: 07 3344 1577,,,
Global BPO Seek Pty Ltd t,,,
Paul Hartmann Pty Ltd,,,
Group GSA Pty Ltd,,,
Blackbook Professional Services,,,
Charter Keck Cramer,,,
Achieve Group Australia Pty Ltd,,,
Athenian,,,
Graduate School of Motoring,,,
Stryker Australia Pty Ltd,,,
Corrs Chambers Westgarth,,,
Uplinx Advanced Services,,,
School Locker,,,
ZETTA 1 Pty Ltd,,,
Phone: 1800 685 877,,,
Bridge 42 Pty Ltd,,,
Bunzl Safety,,,
CONTACT: Cameron Steindl (Branch Manager),,,
Argyle Probity & Governance Advisers,,,
ARQ Group Enterprise Pty Ltd (formerly Melbourne IT),,,
Elysium Digital Pty Ltd,,,
Kiss Software Pty  Ltd,,,
Aspect Studios Pty Ltd,,,
Ground Creations,,,
MILLAIR CLIMATE CONTROL AND ELECTRICAL PTY LTD,,,
"For contact information relating to these suppliers, see the contact info document",,,
2. ACT Logistics Ltd                                 Category 2,,,
Moduplay Group Pty Ltd,,,
Parabellum Cybersecurity Pty Ltd,,,
Shade'n Net (Australia) Pty Ltd,,,
Expose Data Pty Ltd,,,
Mun (Australia) Pty Ltd,,,
• Global Fleet Maintenance,,,
Tychon Group,,,
Edwards Lifesciences Pty Limited,,,
• Welcome to the Fold Pty Ltd (formerly Lime),,,
Lindores Personnel No.1 Pty Ltd,,,
Digital Sense Hosting Pty Ltd T,,,
"TAFE Queensland,",,,
"Strategium (formerly Picks Group),",,,
BAS Technologies Pty Ltd (formerly Simon Smith t,,,
Data Driven Analytics,,,
Mobile:  0428 936 528,,,
TELUS Health (previously LifeWorks),,,
Thomson Geer,,,
"Hare & Forbes Pty Ltd, ABN: 96 000 286 957, 625 - 626 Boundary Road, Coopers Plains QLD 4108, Contact: Peter Dixon, Phone: (07) 3715 2200, Email: sales@machineryhouse.com.au, Machinery Category: Part A and Part B",96000286957.0,,extracted_from_name
TT Project Services Turner & Townsend Project Management Pty Ltd,,,
Contact: Joseph Wallace,,,
Cyber Future Pty Ltd,,,
Serko,,,
PROTOCOOL PTY. LTD,,,
The APP Corporation Pty Ltd,,,
Easyweb Digital Pty Ltd – ABN 79145583099,79145583099.0,,extracted_from_name
Email: office@kayhan.biz,,,
TORRES STRAIT ISLAND REGIONAL COUNCIL,,,
Wavelength International Pty Ltd,,,
Contact: Glenn Searle,,,
Outpost Consulting,,,
Lack Group Personnel Pty Ltd,,,
SecureCo Pty Ltd – ABN 93151002327,93151002327.0,,extracted_from_name
a Costs Down Revenue Up),,,
WANDAL QLD 4700,,,
Dhanush Infotech Pvt Limited,,,
Construction Project Management Pty Ltd (CPM),,,
James Anthony Group Pty Ltd,,,
3,,,
02 8088 9800,,,
SHAILER PARK  QLD  4128,,,
Unify Solutions Pty Ltd,,,
"Automation Partners Pty Ltd, t",,,
TELUS Health (previously LifeWorks and Benestar),,,
Sonos For Sonos Pty Ltd,,,
Range Refrigeration & Automations Pty Ltd,,,
Step Consultancy,,,
W9 Pty Ltd,,,
a CDM),,,
STAFFORD DC QLD 4053,,,
www.bobjane.com.au,,,
Dialysaid Nursing Agency (Australia) Pty Ltd,,,
Ansell Limited (dist. by CH2),,,
"BDO (Qld) Pty Ltd, ABN 45 134 252 434",45134252434.0,,extracted_from_name
Tbuild Qld PTY LTD,,,
Davidson Group (Aust),,,
MBS-Recruitment,,,
• Orima Research,,,
• The Social Deck (The Trustee For The Social Deck Trust),,,
A Telestar Communications – ABN 65080361388,65080361388.0,,extracted_from_name
• The Social Research Centre (SRC),,,
Healthcare Australia Pty Ltd,,,
• Iscariot Media Pty Ltd,,,
• Alcon Laboratories (Australia) Pty Ltd,,,
Smartnet Pty Ltd,,,
ENS Interactive,,,
Write Well Pty Ltd,,,
Alan Bartlett Consulting Pty Ltd,,,
PricewaterhouseCoopers (PWC),,,
Olympus Australia Pty Ltd,,,
Barpa Constructions Services,,,
• Gilimbaa Pty Ltd,,,
AMPCONTROL (QLD) PTY LIMITED,,,
NSK Oceania Pty Ltd,,,
Procensol Australia Pty Ltd (aka Appian),,,
Belgravia Apparel (AUS) Pty Ltd (previously Bizwear),,,
Heimdall Consulting Pty Ltd,,,
Email: sales@indigitech.com.au,,,
Technology Partners International (ISG),,,
Cyconsol Pty Ltd - ABN 95630287544,95630287544.0,,extracted_from_name
Cadence Australia Pty Ltd (EY),,,
Cevo (NSW) Pty Ltd,,,
Fujifilm Business Innovation Australia (formerly Fuji Xerox Australia),,,
Qantas Airways Ltd,,,
Virgin Australia,,,
JAMES CONSTRUCTION QUEENSLAND PTY LTD,,,
VAN EERDE AIR CONDITIONING & REFRIGERATION PTY LTD,,,
Agco Australia Limited,,,
Artificial Intelligence Australia Pty Ltd,,,
Over the Wire Pty Ltd – ABN 28 115 387 258,28115387258.0,,extracted_from_name
Reformabit Pty Ltd,,,
Edge Project Management Pty Ltd,,,
TechnologyOne,,,
Queensland Quantity Surveying,,,
Knight Frank Townsville,,,
"Campfire Digital Services, ABN 82 055 882 115",82055882115.0,,extracted_from_name
Gilmore Resources Pty Ltd,,,
Red Dirt Haulage & Earthworks,,,
Medela Australia Pty Ltd,,,
Glass and Co,,,
Zelda Recruitment Pty Ltd,,,
MPK Consulting Australia Pty Ltd,,,
a Siller Systems Administration),,,
Lima Orthopaedics Australia Pty Ltd,,,
Shape Consulting,,,
ALPHACOOL CAIRNS PTY LTD,,,
IntegrationQA Pty Ltd,,,
a MM Electrical (i3infrasolutions),,,
GSA Management Consulting,,,
Readify Pty Ltd (Telstra Purple),,,
as Hollister Pty Ltd,,,
JPS Medical Recruitment Pty Ltd,,,
Email: anthony_weller@data3.com.au,,,
Fleet Driver Training,,,
Dialog Pty Ltd,,,
• 89 Degrees East,,,
E & E IT Solutions Pty Ltd,,,
Designs for Vision (Paragon Care Group Pty Ltd),,,
a CMI Electrical Products,,,
VivaEnergy (Shell),,,
GWI Pty Ltd (formerly known as  Glentworth Consulting Pty Ltd),,,
Link Enterprise Solutions Pty Ltd,,,
TPG Architects Pty Ltd,,,
Infosec Services Pty Ltd,,,
The Corporate Clothing Company,,,
Telephone: 07 3552 8300,,,
Dialog Information Technology,,,
• Kantar Public,,,
"Laerdal Pty Ltd, Mediquip Pty Ltd",,,
U&U Recruitment Partners,,,
Civil Safety,,,
WSP Australia,,,
Contact: Sam Innes,,,
SSS Australia,,,
Unisys Australia Pty Ltd,,,
Schemalogic Australia Pty Ltd,,,
Email: admin@tbsnq.com.au,,,
JMC Architects,,,
www.iadesign.com,,,
Marsh Pty Ltd,,,
Other Music,,,
Trailworx,,,
DOB Enterprises Pty Ltd,,,
Nestlé Health Science,,,
ENERGYPRO ELECTRICAL SOLUTIONS PTY LTD,,,
SGQ Pty Ltd,,,
Manpower Services (Australia) Pty Ltd,,,
Locum Life Recruitment Pty Ltd,,,
Cairns Ever Cool Pty Ltd,,,
PO Box 4691,,,
Tara & District Family Support Committee Inc,,,
uPaged Pty Ltd,,,
Mitke Pty Ltd t,,,
- Hanrick Curran,,,
Concentrix Catalyst Pty Ltd,,,
S Thomas Health Care Pty Ltd,,,
Fuse Recruitment Brisbane Pty Ltd,,,
AI4SUSTAINABILITY Pty Ltd,,,
Amazon Web Services (AWS),,,
TSS Cyber (a CyberCX company),,,
Adsorb Pty Ltd,,,
Resilience Logistic Solutions Pty Ltd,,,
Encode Services Pty Ltd,,,
• Single Use Dental Instruments Pty Ltd,,,
SWIFT ENERGY GROUP PTY LTD,,,
Stuart Rothwell & Associates Pty Ltd,,,
Johnstaff Advisory (Formerly Carramar Consulting),,,
H & G CONTRACTORS PTY. LTD.,,,
Professional Recruitment Australia Pty Ltd (PRA),,,
DJAS ARCHITECTURE PTY LTD (Formerly known as Daryl Jackson Alastair Swayn Pty Ltd),,,
Strategic Directorships Pty Ltd,,,
Mura Connect Pty Ltd,,,
Johnson & Johnson Medical P,,,
Lohmann & Rauscher Pty Ltd,,,
BOWEN HILLS  QLD  4007,,,
H Consultancy Services,,,
FIREUP Coaching Pty Ltd,,,
- Medtronic Australasia Pty Ltd,,,
TSA Management Pty Limited,,,
Rowen Trading Pty Ltd,,,
8. **Left Blank**,,,
Blugibbon Pty Ltd,,,
"WHITE, ANTHONY CHARLES",,,
Group 2 – Employee Health Services,,,
Deicke Richards Architects Pty Ltd,,,
EMC Global Holdings,,,
ASI Solutions,,,
Aliva,,,
Teleflex Medical Australia Pty Ltd,,,
Hudson Global Resources (Aust),,,
ConnellGriffin,,,
a AgileXperts),,,
Interim CFO Pty Ltd (t,,,
Adventure Playgrounds Pty Ltd t,,,
Simply for Strings,,,
J1-LED Intelligent Transport Systems Pty Ltd,,,
Surge Media Pty Ltd,,,
Email: glenn@abouttech.com.au,,,
Acache Pty Ltd,,,
Group 3 – Workplace Interventions,,,
IQ Medical Pty Ltd,,,
"Corporate Training Solutions [CTS] Training Pty Ltd,",,,
Marrawah Law,,,
Ikara Group Pty Ltd,,,
Arivu Trust,,,
Cognizant Technology Solutions Pty Ltd,,,
Renwick's Lanscape Construction,,,
AMENTCO ENTERPRISE GROUP PTY LTD,,,
"NCC Group Pty Ltd, ABN 83 119 804 803",83119804803.0,,extracted_from_name
Homepage.aspx,,,
InterWorks Aus Pty Ltd,,,
Total Traction Architecture,,,
Informotion,,,
Australian Paint Company Pty Ltd,,,
Sol-Millennium,,,
• Australian Electric Motor Co.,,,
Mantel Operations Ltd (previously AginicDS),,,
Thermo Fisher Scientific Australia Pty Ltd,,,
J. Hutchinson Pty Ltd,,,
Welch Allyn Australia Pty Ltd,,,
Alpha Lifecare Pty Ltd,,,
SONCIN ELECTRICAL PTY. LTD.,,,
GARBUTT QLD 4814,,,
DWS Ltd,,,
ABN: 39 010 315 625,39010315625.0,,extracted_from_name
Just Percussion,,,
"Archersfield Consulting & Management Pty Ltd,",,,
Injurynet Australia Pty Ltd ABN: 37 105 352 501,37105352501.0,,extracted_from_name
• Schottler Consulting,,,
ICU Medical,,,
Evocare Australia Pty Ltd,,,
ABN: 54 010 300 286,54010300286.0,,extracted_from_name
Kinnect Pty Ltd ABN: 31 114 691 860,31114691860.0,,extracted_from_name
ABN:  85 000 059 665,85000059665.0,,extracted_from_name
LatStudios,,,
Bard Australia Pty Limited,,,
Techbite Pty Ltd,,,
Nectar Creative Communications,,,
McCullough Robertson Lawyers,,,
Email: Rosemary@timeandaccess.com.au,,,
Kippa-Ring   Qld   4021,,,
Assertiv Consulting Pty Ltd,,,
CSA,,,
Baxter Healthcare Pty Ltd,,,
SwitchCase Pty Ltd,,,
Alpha Vital Pty Ltd (Alpha First Aid),,,
"NTT Australia Pty Ltd, ABN 65 003 371 239",65003371239.0,,extracted_from_name
M.A ACQUASANTA & S ACQUASANTA Business Name: Locks Direct,,,
Step Consultancy Pty Ltd,,,
Detmold Medical Pty Ltd,,,
AAM Pty Ltd,,,
Kingston Building Australia Pty Ltd,,,
Johnstaff Projects (Qld) Pty Ltd,,,
Bentleys (Qld) Pty Ltd,,,
THAWILL ENTERPRISES PTY LTD,,,
Hays Specialist Recruitment (Australia) Pty Ltd,,,
Mindray Medical,,,
• Engine Group,,,
Whitely Medical,,,
Bridge42 Pty Ltd (formerly NS Projects Pty Ltd),,,
Thermo Fisher Scientific Australia,,,
Position Promo Pty Ltd,,,
Bartlem Construction Services Ply Ltd,,,
Ridgemill Pty Ltd,,,
Bennett and Bennett Group,,,
Queensland X-Ray (QXR),,,
a Oasis Landscaping,,,
Technocrat Pty Ltd,,,
The Trustee for Gaskell Family Trust T,,,
Workwear Hub,,,
a Pcubed),,,
LSI Consulting Pty Ltd,,,
www.uniquebuilding.com.au,,,
Facsimile: 07 3344 1588,,,
Email: rod.okeeffe@bfx.com.au,,,
a Adventure Plus Playgrounds,,,
Gr8 People Pty Ltd,,,
Castine Pty Ltd ATF Hess Family Trust t,,,
Cornerstone Medical Recruitment,,,
L.A.F. Technologies Pty. Ltd.,,,
Williams Architects Pty Ltd,,,
Helix legal Pty Ltd,,,
NORTHERN CONSTRUCTION COMPANY PTY LTD,,,
Alpenglow Australia Pty Ltd,,,
Roche Diabetes Care Australia Pty Ltd,,,
Redwood Security Pty Ltd,,,
Effective People Pty Ltd,,,
ACIL Allen Consulting Pty Ltd,,,
NEXTDC,,,
Eagle & Stork Plumbing Pty Ltd,,,
Peak State Global (previously Alpha Transform),,,
Pacifica Pty Limited,,,
As Bitzios Consulting,,,
Supplier Details:,,,
Randstad Pty Ltd,,,
Big Green Surgical Company Pty Ltd,,,
"Dale Carnegie Australia,",,,
Endless Sunsets Pty Ltd trading as CPEM Consulting Group,,,
Bridgestone Australia Ltd,,,
dwp Australia Pty Ltd,,,
COBiE Pty Ltd,,,
Pivotel Satellite Pty Ltd – ABN 81099917398,81099917398.0,,extracted_from_name
Chalmers ESR Pty Ltd,,,
CloudGo Pty Ltd,,,
"Rowland,",,,
Ajilon Australia Pty Ltd,,,
Pulse DC,,,
BigDataCausality Pty Ltd,,,
Findex (Aust) Pty Ltd,,,
a Gothics Holding Pty Ltd),,,
Randstad Pty Limited,,,
Windsor Group,,,
Willplay Pty Ltd,,,
a Pandanus Consulting),,,
Ph: 1800310300,,,
"41-55 Platinum Street, Crestmead Qld 4132",,,
Queensland Computers Pty Ltd,,,
Driver Safety Australia,,,
Lowcock Builders Pty Ltd,,,
Accenture Australia Pty Ltd - ABN 49096776895,49096776895.0,,extracted_from_name
The Trustee for DJ Trust (All Is Light),,,
COSOL Australia Pty Ltd,,,
P MALOBERTI & L.J MALOBERTI,,,
"Altus Group Consulting Pty Ltd (Previously known as, Altus Group Qld Pty Ltd)",,,
Schoolzine,,,
Supplier Details:	NTT Contact - Lee Hamilton,,,
Open Architecture Studio,,,
