suppliername,agencyname,contract_value,description,supplier_name_original,abn,acn,company_name,match_method
PRICEWATERHOUSECOOPERS,Department of Premier and Cabinet,125000,Consultancy services,PRICEWATERHOUSECOOPERS,,,,
AMBERLEY-ROSEWOOD BUS CO ACN 009668151,Department of Transport,85000,Bus services,AMBERLEY-ROSEWOOD BUS CO ACN 009668151,,009668151,,extracted_from_name
MOUNT ISA WATER BOARD,Mount Isa City Council,450000,Water infrastructure maintenance,MOUNT ISA WATER BOARD,,,,
BHP BILLITON ABN 49004028077,Department of Resources,2500000,Mining advisory services,BHP BILLITON ABN 49004028077,49004028077,,,extracted_from_name
GLENCORE MOUNT ISA MINES,Department of Employment,180000,Training programs,GLENCORE MOUNT ISA MINES,,,,
KALKADOON ENTERPRISES PTY LTD ACN 123456789,Indigenous Affairs,95000,Community services,KALKADOON ENTERPRISES PTY LTD ACN 123456789,,123456789,,extracted_from_name
WOOLWORTHS GROUP LIMITED ABN 88000014675,Department of Education,65000,Catering services,WOOLWORTHS GROUP LIMITED ABN 88000014675,88000014675,,,extracted_from_name
TELSTRA CORPORATION LIMITED ABN 33051775556,Department of Communications,340000,Telecommunications,TELSTRA CORPORATION LIMITED ABN 33051775556,33051775556,,,extracted_from_name
QANTAS AIRWAYS LIMITED ABN 16009661901,Department of Transport,275000,Air services,QANTAS AIRWAYS LIMITED ABN 16009661901,16009661901,,,extracted_from_name
MOUNT ISA HIRE & SALES,Mount Isa City Council,42000,Equipment rental,MOUNT ISA HIRE & SALES,,,,
RIO TINTO ALCAN ABN 61004618426,Department of Resources,1800000,Mining consultation,RIO TINTO ALCAN ABN 61004618426,61004618426,,,extracted_from_name
NORTHWEST REGIONAL COUNCIL,Local Government,125000,Regional services,NORTHWEST REGIONAL COUNCIL,,,,
CARPENTARIA SHIRE COUNCIL,Local Government,89000,Infrastructure,CARPENTARIA SHIRE COUNCIL,,,,
TOWNSVILLE ENTERPRISE LIMITED ACN 060998869,Department of Tourism,156000,Economic development,TOWNSVILLE ENTERPRISE LIMITED ACN 060998869,,060998869,,extracted_from_name
JAMES COOK UNIVERSITY ABN 46253211955,Department of Education,425000,Research partnership,JAMES COOK UNIVERSITY ABN 46253211955,46253211955,,,extracted_from_name
INDIGENOUS BUSINESS AUSTRALIA ABN 92091551188,Indigenous Affairs,220000,Business development,INDIGENOUS BUSINESS AUSTRALIA ABN 92091551188,92091551188,,,extracted_from_name
MOUNT ISA ABORIGINAL CORPORATION,Indigenous Affairs,78000,Community programs,MOUNT ISA ABORIGINAL CORPORATION,,,,
CLONCURRY SHIRE COUNCIL,Local Government,145000,Regional services,CLONCURRY SHIRE COUNCIL,,,,
NORTH WEST STAR PTY LTD,Department of Communications,34000,Media services,NORTH WEST STAR PTY LTD,,,,
MOUNT ISA TAXIS,Department of Transport,28000,Transport services,MOUNT ISA TAXIS,,,,
XSTRATA COPPER,Department of Resources,950000,Industry partnership,XSTRATA COPPER,,,,
ERGON ENERGY ABN 50087646062,Department of Energy,680000,Power infrastructure,ERGON ENERGY ABN 50087646062,50087646062,,,extracted_from_name
AURIZON HOLDINGS LIMITED ABN 14146335622,Department of Transport,1250000,Rail services,AURIZON HOLDINGS LIMITED ABN 14146335622,14146335622,,,extracted_from_name
MOUNT ISA COMMUNITY ENTERPRISES,Local Government,56000,Community services,MOUNT ISA COMMUNITY ENTERPRISES,,,,
NORTHWEST SAFETY SOLUTIONS PTY LTD ACN 098765432,Department of Safety,92000,Safety training,NORTHWEST SAFETY SOLUTIONS PTY LTD ACN 098765432,,098765432,,extracted_from_name
