suppliername,agencyname,contract_value,description
"PRICEWATERHOUSECOOPERS",Department of Premier and Cabinet,125000,Consultancy services
"AMBERLEY-ROSEWOOD BUS CO ACN 009668151",Department of Transport,85000,Bus services
"MOUNT ISA WATER BOARD",Mount Isa City Council,450000,Water infrastructure maintenance
"BHP BILLITON ABN 49004028077",Department of Resources,2500000,Mining advisory services
"GLENCORE MOUNT ISA MINES",Department of Employment,180000,Training programs
"KALKADOON ENTERPRISES PTY LTD ACN 123456789",Indigenous Affairs,95000,Community services
"WOOLWORTHS GROUP LIMITED ABN 88000014675",Department of Education,65000,Catering services
"TELSTRA CORPORATION LIMITED ABN 33051775556",Department of Communications,340000,Telecommunications
"QANTAS AIRWAYS LIMITED ABN 16009661901",Department of Transport,275000,Air services
"MOUNT ISA HIRE & SALES",Mount Isa City Council,42000,Equipment rental
"RIO TINTO ALCAN ABN 61004618426",Department of Resources,1800000,Mining consultation
"NORTHWEST REGIONAL COUNCIL",Local Government,125000,Regional services
"CARPENTARIA SHIRE COUNCIL",Local Government,89000,Infrastructure
"TOWNSVILLE ENTERPRISE LIMITED ACN 060998869",Department of Tourism,156000,Economic development
"JAMES COOK UNIVERSITY ABN 46253211955",Department of Education,425000,Research partnership
"INDIGENOUS BUSINESS AUSTRALIA ABN 92091551188",Indigenous Affairs,220000,Business development
"MOUNT ISA ABORIGINAL CORPORATION",Indigenous Affairs,78000,Community programs
"CLONCURRY SHIRE COUNCIL",Local Government,145000,Regional services
"NORTH WEST STAR PTY LTD",Department of Communications,34000,Media services
"MOUNT ISA TAXIS",Department of Transport,28000,Transport services
"XSTRATA COPPER",Department of Resources,950000,Industry partnership
"ERGON ENERGY ABN 50087646062",Department of Energy,680000,Power infrastructure
"AURIZON HOLDINGS LIMITED ABN 14146335622",Department of Transport,1250000,Rail services
"MOUNT ISA COMMUNITY ENTERPRISES",Local Government,56000,Community services
"NORTHWEST SAFETY SOLUTIONS PTY LTD ACN 098765432",Department of Safety,92000,Safety training
