statement_id,url,error,known_title,known_date
100887,https://statements.qld.gov.au/statements/100887,403 Client Error: Forbidden for url: https://statements.qld.gov.au/statements/100887,On-Country program to begin in Mount Isa,July 2024
98003,https://statements.qld.gov.au/statements/98003,403 Client Error: Forbidden for url: https://statements.qld.gov.au/statements/98003,New co-responder team tackling youth crime in Mount Isa,June 2023
97577,https://statements.qld.gov.au/statements/97577,403 Client Error: Forbidden for url: https://statements.qld.gov.au/statements/97577,"Community grants help tackle youth offending in Mount Isa, Townsville",
89527,https://statements.qld.gov.au/statements/89527,403 Client Error: Forbidden for url: https://statements.qld.gov.au/statements/89527,New funding to tackle youth crime in Mount Isa,
98337,https://statements.qld.gov.au/statements/98337,403 Client Error: Forbidden for url: https://statements.qld.gov.au/statements/98337,More funding for Mount Isa Stronger Communities approach,
100864,https://statements.qld.gov.au/statements/100864,403 Client Error: Forbidden for url: https://statements.qld.gov.au/statements/100864,Youth Co-Responder Teams contributing to reduced offending,
97933,https://statements.qld.gov.au/statements/97933,403 Client Error: Forbidden for url: https://statements.qld.gov.au/statements/97933,Record youth justice budget puts community safety first,
97218,https://statements.qld.gov.au/statements/97218,403 Client Error: Forbidden for url: https://statements.qld.gov.au/statements/97218,Putting community safety first with tougher action on youth crime,
100544,https://statements.qld.gov.au/statements/100544,403 Client Error: Forbidden for url: https://statements.qld.gov.au/statements/100544,Miles Labor Government delivers record Police and Community Safety budget,
97930,https://statements.qld.gov.au/statements/97930,403 Client Error: Forbidden for url: https://statements.qld.gov.au/statements/97930,Record $3.281 billion operating budget to bolster police services,
