source,record_type,recipient_org,url,extracted_date,mount_isa_relevance,note,amount_type,funding_body,date,description,program_name,amount
acnc,actual_payment,Mithangkaya Nguli - Young People Ahead,https://www.acnc.gov.au/charity/charities/02061bf8-38af-e811-a963-000d3ad244fd,2025-11-14T20:51:53.998124,High,Financial data available at ACNC registry,,,,,,
budget_papers,budget_allocation,,https://budget.qld.gov.au/files/Budget-2024-25-SDS-Department-of-Youth-Justice-and-Victim-Support.pdf,2025-11-14T20:51:55.999940,,PDF requires manual parsing or OCR,allocated,,,,,
budget_papers,budget_allocation,,https://budget.qld.gov.au/files/Budget_2024-25_SDS_Queensland_Police_Service.pdf,2025-11-14T20:51:58.000912,,PDF requires manual parsing or OCR,allocated,,,,,
annual_report,report,,https://www.publications.qld.gov.au/ckan-publications-attachments-prod/resources/3e45ff41-5e61-46c3-9d16-f3116cc70b4c/yj-annual-report-2023-2024.pdf,2025-11-14T20:52:02.293499,,PDF requires OCR/parsing for Mount Isa mentions,,Youth Justice,2023-24,,,
annual_report,report,,https://www.police.qld.gov.au/sites/default/files/2024-09/QPS Annual Report 2023-24.pdf,2025-11-14T20:52:02.293537,,PDF requires OCR/parsing for Mount Isa mentions,,QPS,2023-24,,,
parliament,parliamentary_question,,https://www.parliament.qld.gov.au/work-of-assembly/questions-on-notice,2025-11-14T20:52:02.293554,,"Search required: ""Mount Isa"" + ""youth justice"" + ""funding""",,,,Questions on Notice about Mount Isa youth justice spending,,
parliament,estimates_hearing,,https://documents.parliament.qld.gov.au/com/EETSC-5CF2/C20242025-8DED/2024_08_01_EstimatesEEC.pdf,2025-11-14T20:52:02.293557,High,,,,2024-08-01,Minister announced Mithangkaya Nguli appointment in Mount Isa,,
grantconnect,federal_grant,,https://www.grants.gov.au/?event=public.search&term=Mount+Isa,2025-11-14T20:52:02.293587,,Requires HTML scraping or data download,,,,Federal grants search: Mount Isa,,
grantconnect,federal_grant,,https://www.grants.gov.au/?event=public.search&term=Mithangkaya+Nguli,2025-11-14T20:52:02.293597,,Requires HTML scraping or data download,,,,Federal grants search: Mithangkaya Nguli,,
grantconnect,federal_grant,,https://www.grants.gov.au/?event=public.search&term=North+West+Queensland,2025-11-14T20:52:02.293613,,Requires HTML scraping or data download,,,,Federal grants search: North West Queensland,,
grantconnect,federal_program,,https://www.niaa.gov.au/indigenous-affairs/grants-and-funding,2025-11-14T20:52:02.293615,Medium,May have Mount Isa recipients - requires detailed search,,NIAA,,,Indigenous Advancement Strategy,
grantconnect,federal_program,,https://www.homeaffairs.gov.au/about-us/grants-and-tenders/grants,2025-11-14T20:52:02.293617,Medium,,,Department of Home Affairs,,,Safer Communities Fund,
council_budget,council_document,,https://www.mountisa.qld.gov.au/City-Council/Corporate-Publications/Budgets/Budget-2024-25,2025-11-14T20:52:02.293649,High,Requires PDF/HTML download and parsing,,,,Total council budget 2024-25,,$110.9 million
council_budget,council_document,,https://issuu.com/mountisa7/docs/atria_group_mount_isa_city_council_youth_strategy_,2025-11-14T20:52:02.293657,High,Requires PDF/HTML download and parsing,,,,Mount Isa Youth Strategy - contains youth program priorities,,
council_budget,council_document,,https://www.mountisa.qld.gov.au/City-Council/Corporate-Publications/,2025-11-14T20:52:02.293663,High,Requires PDF/HTML download and parsing,,,,Council annual report with program outcomes,,
